symptoms,disease
"fever, headache, body aches, persistent cough, extreme malaise",Influenza (A)
"high fever, body aches, headache, muscle pain, cough",Influenza (A)
"chills, fever, sore throat, persistent cough, extreme fatigue",Influenza (A)
"severe body aches, headache, deep cough, high fever, chest pain",Influenza (A)
"headache, fever, severe chills, fatigue, persistent cough",Influenza (A)
"body aches, fever, persistent cough, nasal congestion",Influenza (A)
"high fever, sore throat, headache, chills, extreme tiredness",Influenza (A)
"fever, cough, body aches, runny nose, tiredness",Influenza (A)
"sore throat, persistent cough, headache, chills, fever",Influenza (A)
"muscle aches, fever, deep cough, malaise, sore throat",Influenza (A)
"fever, headache, body aches, persistent cough, extreme malaise",Influenza (A)
"high fever, body aches, headache, muscle pain, cough",Influenza (A)
"chills, fever, sore throat, persistent cough, extreme fatigue",Influenza (A)
"severe body aches, headache, deep cough, high fever, chest pain",Influenza (A)
"headache, fever, severe chills, fatigue, persistent cough",Influenza (A)
"body aches, fever, persistent cough, nasal congestion",Influenza (A)
"high fever, sore throat, headache, chills, extreme tiredness",Influenza (A)
"fever, cough, body aches, runny nose, tiredness",Influenza (A)
"sore throat, persistent cough, headache, chills, fever",Influenza (A)
"muscle aches, fever, deep cough, malaise, sore throat",Influenza (A)
"fever, headache, body aches, persistent cough, extreme malaise",Influenza (A)
"high fever, body aches, headache, muscle pain, cough",Influenza (A)
"chills, fever, sore throat, persistent cough, extreme fatigue",Influenza (A)
"severe body aches, headache, deep cough, high fever, chest pain",Influenza (A)
"headache, fever, severe chills, fatigue, persistent cough",Influenza (A)
"body aches, fever, persistent cough, nasal congestion",Influenza (A)
"high fever, sore throat, headache, chills, extreme tiredness",Influenza (A)
"fever, cough, body aches, runny nose, tiredness",Influenza (A)
"sore throat, persistent cough, headache, chills, fever",Influenza (A)
"muscle aches, fever, deep cough, malaise, sore throat",Influenza (A)
"fever, headache, body aches, persistent cough, extreme malaise",Influenza (A)
"high fever, body aches, headache, muscle pain, cough",Influenza (A)
"chills, fever, sore throat, persistent cough, extreme fatigue",Influenza (A)
"severe body aches, headache, deep cough, high fever, chest pain",Influenza (A)
"headache, fever, severe chills, fatigue, persistent cough",Influenza (A)
"body aches, fever, persistent cough, nasal congestion",Influenza (A)
"high fever, sore throat, headache, chills, extreme tiredness",Influenza (A)
"fever, cough, body aches, runny nose, tiredness",Influenza (A)
"sore throat, persistent cough, headache, chills, fever",Influenza (A)
"muscle aches, fever, deep cough, malaise, sore throat",Influenza (A)
"throbbing pain, sensitivity to light, one-sided headache, aura, nausea",Migraine (Classic)
